"chan1","chan2","chan3"
0.48654,0.50058,0.5
0,1,0.5
0.75875,1,1
0.5,0.5,1
0.5,0.5,1
1,0.67349,0.56143
1,0,0.51516
0.57457,0.35485,0.72917
0,1,0.57577
1,0.63304,0.52732
0.42507,0.70834,0.35584
0.73501,0,0.23357
0.99961,0,0.38871
0.16529,0.71714,0.57724
0.59809,0.84784,0.91505
0.51645,0.45461,0.95373
0.43934,0.49984,1
0.50153,0.47804,1
0.49866,0.5024,0.97562
0.50099,0.49884,0.94215
0.49913,0.50023,0.96047
0.49995,0.50011,0.95971
0.50038,0.49971,0.96019
0.49993,0.50009,0.99272
