"chan1","chan2","chan3","chan4"
0.43658,0.47193,0.4313,0.5
0.452,0.45446,0.65367,0
0.65166,0.50029,0.70992,1
0.75771,0.57953,0.43715,1
0.55401,0.59619,0.84895,0.77425
1,1.01259,1,1
0.92235,1.35796,1,0.96446
0.63556,1.46728,0.93534,0.83318
0.45183,1.42652,0.87118,0.74908
0.51397,1.43785,0.86361,0.77752
0.48832,1.42846,0.86146,0.76578
0.4933,1.42293,0.87408,0.76806
0.48153,1.40778,0.87048,0.76267
0.48013,1.39072,0.87056,0.76203
0.42762,1.3311,0.91414,0.73799
0.50647,1.33651,0,0.77409
0.40442,1.25943,0.04597,0.72738
0.55648,1.30821,1,0.79698
0.4932,1.30267,0.93739,0.76802
0.43255,1.24743,0.94528,0.74025
0.49578,1.2439,0.94112,0.76919
0.52224,1.26215,0.93888,0.78131
0.49733,1.25997,0.94141,0.76991
0.49257,1.25375,0.94253,0.76773
0.45718,1.21896,0.94214,0.75153
0.54213,1.25344,0.94215,0.79041
0.47719,1.23555,0.94087,0.76068
0.57363,1.29638,0.93932,0.80483
0.53716,1.3276,0.93765,0.78814
0.44065,1.27877,0.94794,0.74396
0.45352,1.23988,0.95046,0.74985
0.54635,1.27744,0.95063,0.79234
0.48977,1.26892,0.95171,0.76644
0.51393,1.28039,0.94828,0.7775
0.48947,1.2718,0.94613,0.76631
0.48091,1.25596,0.94831,0.76239
0.50341,1.25872,0.94878,0.77269
